job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg,company_name,job_skills,job_type_skills,job_posted_month
Data Analyst,Data analyst,"Birmingham, AL",via Talent.com,Full-time,False,Georgia,2023-01-03 23:34:44,False,True,United States,,,,Ogletree,['excel'],{'analyst_tools': ['excel']},Jan
Data Analyst,Data analyst,"Charlotte, NC",via Talent.com,Full-time,False,Georgia,2023-01-03 23:34:42,True,True,United States,,,,Experis,"['sql', 'go', 'alteryx', 'excel', 'tableau']","{'analyst_tools': ['alteryx', 'excel', 'tableau'], 'programming': ['sql', 'go']}",Jan
Data Analyst,Data analyst,"Charlotte, NC",via Talent.com,Full-time,False,Georgia,2023-01-03 23:34:39,False,False,United States,,,,Open Systems Technologies,"['python', 'sql', 'snowflake', 'gcp', 'aws', 'tensorflow']","{'cloud': ['snowflake', 'gcp', 'aws'], 'libraries': ['tensorflow'], 'programming': ['python', 'sql']}",Jan
Data Analyst,Data analyst,"Stockholm, Sweden",via Trabajo.org,Full-time,False,Sweden,2023-01-03 22:57:16,True,False,Sweden,,,,Vembla,,,Jan
Data Analyst,Data analyst,"Brussels, Belgium",via BeBee Belgique,Full-time,False,Belgium,2023-01-12 13:49:05,False,False,Belgium,,,,Visser & Van Baars,"['sql', 'python', 'r', 'sas', 'sas']","{'analyst_tools': ['sas'], 'programming': ['sql', 'python', 'r', 'sas']}",Jan
Data Analyst,Data analyst,"Reims, France",via BeBee,Full-time,False,France,2023-01-01 13:38:57,False,False,France,,,,GROUPEMENT D'INTERET PUBLIC PULSY,,,Jan
Data Analyst,Data analyst,"Smyrna, GA",via Talent.com,Full-time,False,Georgia,2023-01-03 23:34:19,True,False,United States,,,,Insight Global,"['sql', 'tableau']","{'analyst_tools': ['tableau'], 'programming': ['sql']}",Jan
Data Analyst,Data analyst,"Alpharetta, GA",via Talent.com,Full-time,False,Georgia,2023-01-03 23:34:30,True,False,United States,,,,Modis,,,Jan
Data Analyst,Data analyst,"Les Sorinières, France",via BeBee,Full-time,False,France,2023-01-01 13:38:57,True,False,France,,,,ENERCON SERVICE FRANCE,,,Jan
Data Analyst,Data analyst,"Atlanta, GA",via Talent.com,Full-time,False,Georgia,2023-01-03 23:34:25,False,False,United States,,,,"Graphic Packaging International, Inc.","['word', 'excel', 'visio']","{'analyst_tools': ['word', 'excel', 'visio']}",Jan
Data Analyst,Data analyst,"Atlanta, GA",via Talent.com,Full-time,False,Georgia,2023-01-03 23:34:25,False,True,United States,,,,Florence Healthcare - US,"['sql', 'nosql', 'aws', 'tableau', 'power bi', 'excel']","{'analyst_tools': ['tableau', 'power bi', 'excel'], 'cloud': ['aws'], 'programming': ['sql', 'nosql']}",Jan
Data Analyst,Data analyst,"Eskilstuna, Sweden",via Jobbsafari,Full-time,False,Sweden,2023-01-27 07:14:23,True,False,Sweden,,,,JobBusters,"['sql', 'python', 'power bi']","{'analyst_tools': ['power bi'], 'programming': ['sql', 'python']}",Jan
Data Analyst,Data analyst,"Huizen, Netherlands",via LinkedIn,Full-time,False,Netherlands,2023-01-03 15:47:27,True,False,Netherlands,,,,Olympia,['power bi'],{'analyst_tools': ['power bi']},Jan
Data Analyst,Data analyst,"Hyderabad, Telangana, India",via BeBee India,Full-time,False,India,2023-01-02 06:25:20,True,False,India,,,,Miric Biotech Ltd,"['r', 'python', 'sql', 'excel']","{'analyst_tools': ['excel'], 'programming': ['r', 'python', 'sql']}",Jan
Data Analyst,Data analyst,"Paris, France",via Pôle Emploi,Full-time,False,France,2023-01-23 00:12:40,False,False,France,,,,BRAIN WORK OFFICE,"['vba', 'python', 'javascript', 'vue', 'excel']","{'analyst_tools': ['excel'], 'programming': ['vba', 'python', 'javascript'], 'webframeworks': ['vue']}",Jan
Data Analyst,Data analyst,"Sunnyvale, CA",via Talent.com,Full-time,False,"California, United States",2023-01-07 00:01:43,True,False,United States,,,,The Select Group,"['sql', 'python', 'alteryx', 'sap', 'flow']","{'analyst_tools': ['alteryx', 'sap'], 'other': ['flow'], 'programming': ['sql', 'python']}",Jan
Data Analyst,Data analyst,"Orange, CA",via Talent.com,Full-time,False,"California, United States",2023-01-24 00:01:34,False,False,United States,,,,Alignment Healthcare,"['sql', 'excel', 'powerpoint', 'power bi', 'webex']","{'analyst_tools': ['excel', 'powerpoint', 'power bi'], 'programming': ['sql'], 'sync': ['webex']}",Jan
Data Analyst,Data analyst,"Miami, FL",via Talent.com,Full-time,False,"Florida, United States",2023-01-07 00:03:08,False,False,United States,,,,"Atlas Air, Inc","['excel', 'word', 'powerpoint']","{'analyst_tools': ['excel', 'word', 'powerpoint']}",Jan
Data Analyst,Data analyst,"San Francisco, CA",via Talent.com,Full-time,False,"California, United States",2023-01-07 00:01:36,True,False,United States,,,,CBRE,,,Jan
Data Analyst,Data analyst,"Newark, NJ",via Talent.com,Full-time,False,"New York, United States",2023-01-15 00:00:06,False,True,United States,,,,"JPMorgan Chase Bank, N.A.","['excel', 'flow']","{'analyst_tools': ['excel'], 'other': ['flow']}",Jan
Data Analyst,Data analyst,"Chicago, IL",via Talent.com,Full-time,False,"Illinois, United States",2023-01-21 00:19:14,True,True,United States,,,,Federal Reserve Bank of Atlanta,"['sql', 'go', 'oracle', 'gdpr', 'tableau', 'jira']","{'analyst_tools': ['tableau'], 'async': ['jira'], 'cloud': ['oracle'], 'libraries': ['gdpr'], 'programming': ['sql', 'go']}",Jan
Data Analyst,Data analyst,"Santa Monica, CA",via Talent.com,Full-time,False,"California, United States",2023-01-16 00:01:02,True,False,United States,,,,Jobot,,,Jan
Data Analyst,Data analyst,Nigeria,via Laimoon.com,Full-time,False,Nigeria,2023-01-16 00:14:46,True,False,Nigeria,,,,Eddie patryck communications,,,Jan
Data Analyst,Data analyst,"Hoboken, NJ",via Talent.com,Full-time,False,"New York, United States",2023-01-03 00:00:03,True,True,United States,,,,Michael Page,"['sql', 'aws', 'redshift']","{'cloud': ['aws', 'redshift'], 'programming': ['sql']}",Jan
Data Analyst,Data analyst,"New York, NY",via Talent.com,Full-time,False,"New York, United States",2023-01-15 00:00:14,False,False,United States,,,,DOW JONES,"['sql', 'r', 'python', 'tableau']","{'analyst_tools': ['tableau'], 'programming': ['sql', 'r', 'python']}",Jan
Data Analyst,Data analyst,"Irvine, CA",via Talent.com,Full-time,False,"California, United States",2023-01-30 00:01:01,True,True,United States,,,,"TekCom Resources, Inc.",['flow'],{'other': ['flow']},Jan
Data Analyst,Data analyst,"Dallas, TX",via Talent.com,Full-time,False,"Texas, United States",2023-01-26 00:01:39,False,False,United States,,,,USI Insurance Services,,,Jan
Data Analyst,Data analyst,"New York, NY",via Talent.com,Full-time,False,"New York, United States",2023-01-16 00:00:03,False,False,United States,,,,DOW JONES,"['sql', 'r', 'python', 'tableau']","{'analyst_tools': ['tableau'], 'programming': ['sql', 'r', 'python']}",Jan
Data Analyst,Data analyst,"Orlando, FL",via Talent.com,Full-time,False,"Florida, United States",2023-01-12 00:03:45,False,True,United States,,,,Lyons Consulting Group,"['sql', 'redshift', 'snowflake', 'hadoop', 'spark']","{'cloud': ['redshift', 'snowflake'], 'libraries': ['hadoop', 'spark'], 'programming': ['sql']}",Jan
Data Analyst,Data analyst,"Burbank, CA",via Talent.com,Full-time,False,"California, United States",2023-01-24 00:01:31,True,False,United States,,,,DISNEY,"['excel', 'airtable']","{'analyst_tools': ['excel'], 'async': ['airtable']}",Jan
Data Analyst,Data analyst,"Dallas, TX",via Talent.com,Full-time,False,"Texas, United States",2023-01-21 00:02:03,False,False,United States,,,,Parkland Health and Hospital System,"['crystal', 'sql', 'excel']","{'analyst_tools': ['excel'], 'programming': ['crystal', 'sql']}",Jan
Data Analyst,Data analyst,"Boca Raton, FL",via Florida Jobs - Tarta.ai,Full-time,False,"Florida, United States",2023-01-15 00:03:08,True,False,United States,,,,Florida Peninsula Insurance Company,,,Jan
Data Analyst,Data analyst,"Paramount, CA",via Talent.com,Full-time,False,"California, United States",2023-01-07 00:01:36,True,False,United States,,,,Ledgent Finance & Accounting,"['excel', 'power bi']","{'analyst_tools': ['excel', 'power bi']}",Jan
Data Analyst,Data analyst,"Beverly Hills, CA",via Talent.com,Full-time,False,"California, United States",2023-01-07 00:01:46,False,True,United States,year,90000.0,,CyberCoders,"['sql', 'python', 'mysql', 'sql server', 'postgresql', 'bigquery', 'looker', 'tableau', 'excel']","{'analyst_tools': ['looker', 'tableau', 'excel'], 'cloud': ['bigquery'], 'databases': ['mysql', 'sql server', 'postgresql'], 'programming': ['sql', 'python']}",Jan
Data Analyst,Data analyst,"Austin, TX",via Talent.com,Full-time,False,"Texas, United States",2023-01-10 00:01:38,True,True,United States,,,,Texas Department of Aging & Disability Services,"['powerpoint', 'excel', 'visio', 'word', 'flow']","{'analyst_tools': ['powerpoint', 'excel', 'visio', 'word'], 'other': ['flow']}",Jan
Data Analyst,Data analyst,"Newark, NJ",via Talent.com,Full-time,False,"New York, United States",2023-01-03 00:00:01,True,False,United States,,,,"Emonics, LLC","['go', 'sql', 'tableau', 'confluence']","{'analyst_tools': ['tableau'], 'async': ['confluence'], 'programming': ['go', 'sql']}",Jan
Data Analyst,Data analyst,"Stanford, CA",via Talent.com,Full-time,False,"California, United States",2023-01-07 00:01:43,False,False,United States,,,,Stanford University,"['python', 'matlab', 'r', 'linux']","{'os': ['linux'], 'programming': ['python', 'matlab', 'r']}",Jan
Data Analyst,Data analyst,"Plano, TX",via Talent.com,Full-time,False,"Texas, United States",2023-01-07 00:02:14,False,False,United States,,,,Systemart LLC,"['sql', 'sas', 'sas', 'snowflake', 'tableau', 'excel']","{'analyst_tools': ['sas', 'tableau', 'excel'], 'cloud': ['snowflake'], 'programming': ['sql', 'sas']}",Jan
Data Analyst,Data analyst,"El Segundo, CA",via Talent.com,Full-time,False,"California, United States",2023-01-31 00:01:30,False,False,United States,,,,KARL STORZ,"['sql', 'python', 'r', 'tableau', 'looker']","{'analyst_tools': ['tableau', 'looker'], 'programming': ['sql', 'python', 'r']}",Jan
Data Analyst,Data analyst,"Chicago, IL",via Talent.com,Full-time,False,"Illinois, United States",2023-01-21 00:19:26,False,False,United States,,,,"Staffigo Technical Services, LLC","['excel', 'power bi']","{'analyst_tools': ['excel', 'power bi']}",Jan
